Title,Price,Rating,Image URL,Result Type
ASUS VivoBook 15 Intel Core i3 12th Gen 1215U - (8 GB/512 GB SSD/Windows 11 Home) X1502ZA-EJ312WS Laptop,₹38,990,4.2,https://m.media-amazon.com/images/I/71mOABEJvNL._AC_UL320_.jpg,Organic
Lenovo IdeaPad Slim 3 Intel Core i3 12th Gen 1215U - (8 GB/512 GB SSD/Windows 11 Home) 82RK00VWIN Laptop,₹34,990,4.1,https://m.media-amazon.com/images/I/61vabQUOvHL._AC_UL320_.jpg,Ad
HP Laptop 15s Intel Core i5 12th Gen 1235U - (8 GB/512 GB SSD/Windows 11 Home) fd0067TU Laptop,₹52,990,4.3,https://m.media-amazon.com/images/I/71M5JQdmtGL._AC_UL320_.jpg,Organic
Acer Aspire Lite AMD Ryzen 5 5500U - (8 GB/512 GB SSD/Windows 11 Home) AL15-41 Laptop,₹37,990,4.0,https://m.media-amazon.com/images/I/71kHPQkNhPL._AC_UL320_.jpg,Organic
Dell Inspiron 15 3520 Intel Core i3 1215U - (8 GB/512 GB SSD/Windows 11 + MSO) Laptop,₹40,990,4.2,https://m.media-amazon.com/images/I/61BNB6VNJHL._AC_UL320_.jpg,Ad
ASUS VivoBook 16 Intel Core i5 12th Gen 1235U - (16 GB/512 GB SSD/Windows 11 Home) X1605ZA-MB332WS Laptop,₹56,990,4.4,https://m.media-amazon.com/images/I/71XmELbKjRL._AC_UL320_.jpg,Organic
Lenovo LOQ Intel Core i5 12th Gen 12450H - (8 GB/512 GB SSD/Windows 11 Home) 82XV00CYIN Gaming Laptop,₹61,990,4.3,https://m.media-amazon.com/images/I/71QzHfFOGnL._AC_UL320_.jpg,Organic
HP Victus 15 AMD Ryzen 5 5600H - (8 GB/512 GB SSD/Windows 11 Home) fb0157AX Gaming Laptop,₹57,990,4.2,https://m.media-amazon.com/images/I/71dMDFoytHL._AC_UL320_.jpg,Ad
Acer Nitro V AMD Ryzen 5 7535HS - (8 GB/512 GB SSD/Windows 11 Home) ANV15-41 Gaming Laptop,₹62,990,4.3,https://m.media-amazon.com/images/I/81pBRr8VGEL._AC_UL320_.jpg,Organic
MSI Thin GF63 Intel Core i5 11th Gen 11400H - (8 GB/512 GB SSD/Windows 11 Home) Thin GF63 11UC-1660IN Gaming Laptop,₹55,990,4.1,https://m.media-amazon.com/images/I/71cHkHoOaGL._AC_UL320_.jpg,Organic
ASUS TUF Gaming F15 Intel Core i5 11th Gen 11400H - (8 GB/512 GB SSD/Windows 11 Home) FX506LH-HN258W Gaming Laptop,₹59,990,4.2,https://m.media-amazon.com/images/I/81H5P8GJGML._AC_UL320_.jpg,Ad
Lenovo IdeaPad Gaming 3 AMD Ryzen 5 6600H - (8 GB/512 GB SSD/Windows 11 Home) 82S900VWIN Gaming Laptop,₹58,990,4.1,https://m.media-amazon.com/images/I/71DWbJl4KIL._AC_UL320_.jpg,Organic
Dell G15 5530 Intel Core i5 13th Gen 13450HX - (8 GB/512 GB SSD/Windows 11 + MSO) Gaming Laptop,₹71,990,4.3,https://m.media-amazon.com/images/I/71HLnkHEFFL._AC_UL320_.jpg,Organic
HP Laptop 14s Intel Core i3 12th Gen 1215U - (8 GB/256 GB SSD/Windows 11 Home) eq2278TU Laptop,₹31,990,4.0,https://m.media-amazon.com/images/I/71zHPLiJpjL._AC_UL320_.jpg,Organic
Acer Aspire 3 Intel Core i3 12th Gen 1215U - (8 GB/512 GB SSD/Windows 11 Home) A315-59 Laptop,₹33,990,4.1,https://m.media-amazon.com/images/I/71aFt7LTSSL._AC_UL320_.jpg,Ad
